,occurance,word,Comparing_round,Value,Base_Word,Base_Value,,Google_Trend _Frequency
Male,1,Male,2,54,travel,85,,3618
English,1,English,2,86,travel,35,,13993.42857
Action,1,Action,2,37,travel,85,,2479
Adventure_Games,1,Adventure Games,2,52,Used Vehicles,75,,46.45333333
Apparel,1,Apparel,2,10,travel,85,,670
Autos,1,Autos,2,88,travel,45,,11136.88889
Beauty,1,Beauty,2,46,travel,85,,3082
Books,1,Books,2,88,travel,49,,10227.7551
Burgers,1,Burgers,2,57,travel,85,,3819
Business_News,1,Business News,2,69,Used Vehicles,39,,118.5384615
Business_Services,1,Business Services,2,78,Used Vehicles,22,,237.5454545
Camera,1,Camera,2,60,travel,85,,4020
Career_Resources,1,Career Resources,2,10,Used Vehicles,75,,8.933333333
Celebrities,1,Celebrities,2,72,Used Vehicles,5,,964.8
Classical_Music,1,Classical Music,2,78,Used Vehicles,31,,168.5806452
Coffee,1,Coffee,2,81,travel,64,,7207.734375
Combat_Sports,1,Combat Sports,2,3,Used Vehicles,75,,2.68
Comics,1,Comics,2,23,travel,85,,1541
Computer_Components,1,Computer Components,2,15,Used Vehicles,75,,13.4
Computer_Peripherals,1,Computer Peripherals,2,3,Used Vehicles,75,,2.68
Computers,1,Computers,2,59,travel,85,,3953
Construction,1,Construction,2,37,travel,85,,2479
Consumer_Electronics,1,Consumer Electronics,2,10,Used Vehicles,75,,8.933333333
Cooking,1,Cooking,2,31,travel,85,,2077
Dance,1,Dance,2,48,travel,85,,3216
DJ_Resources,1,DJ Resources,2,15,travel,85,,1005
Dogs,1,Dogs,2,84,travel,24,,19932.5
Fashion,1,Fashion,2,35,travel,85,,2345
Fast_Food,1,Fast_Food,2,20,travel,85,,1340
Flowers,1,Flowers,2,50,travel,73,,3900.684932
Food,1,Food,2,90,travel,21,,24407.14286
Gourmet,1,Gourmet,2,9,Used Vehicles,9,,67
Greeting_Cards,1,Greeting Cards,2,60,Used Vehicles,70,,57.42857143
Home_Improvement,1,Home Improvement,2,55,Used Vehicles,6,,614.1666667
Horror_Films,1,Horror Films,2,59,Used Vehicles,9,,439.2222222
Hospitality_Industry,1,Hospitality Industry,2,16,Used Vehicles,75,,14.29333333
Inheritance,1,Inheritance,2,68,Used Vehicles,15,,303.7333333
Job_Listings,1,Job Listings,2,15,Used Vehicles,75,,13.4
Living_Room_Furniture,1,Living Room Furniture,2,65,Used Vehicles,28,,155.5357143
Local_News,1,Local News,2,78,Used Vehicles,11,,475.0909091
Mass_Merchants,1,Mass Merchants,2,1,Urban Transit,5,,0.2
Mobile_Phones,1,Mobile_Phones,2,84,Used Vehicles,11,,511.6363636
Movies,1,Movies,2,83,travel,17,,27805
Moving,1,Moving,2,86,Used Vehicles,2,,2881
Music,1,Music,2,88,travel,48,,10440.83333
News,1,News,2,83,travel,18,,26260.27778
Pet_Food,1,Pet_Food,2,79,Used Vehicles,25,,211.72
Pets,1,Pets,2,86,Used Vehicles,1,,5762
Politics,1,Politics,2,66,Used Vehicles,8,,552.75
Pop_Music,1,Pop Music,2,62,Used Vehicles,52,,79.88461538
Printers,1,Printers,2,79,Used Vehicles,2,,2646.5
Product_Reviews,1,Product Reviews,1,26,,,,26
Restaurants,1,Restaurants,2,83,travel,15,,31512.33333
Roleplaying_Games,1,Roleplaying Games,1,1,,,,1
Sedans,1,Sedans,2,72,Used Vehicles,8,,603
Shopping,1,Shopping,2,70,Used Vehicles,2,,2345
Snack_Foods,1,Snack Foods,1,28,,,,28
Social_Networks,1,Social Networks,2,32,Used Vehicles,27,,79.40740741
Sofas,1,Sofas,2,83,Used Vehicles,3,,1853.666667
Sports,1,Sports,2,80,Used Vehicles,1,,5360
Strategy_Games,1,Strategy Games,1,26,,,,26
Swimwear,1,Swimwear,2,49,TV Drama,4,,428.75
Travel,1,Travel,2,85,Used Vehicles,1,,5695
TV_Dramas,1,TV Dramas,1,35,,,,35
TV_Networks,1,TV Networks,1,12,,,,12
TV_Sci-Fi,1,TV Sci-Fi,1,2,,,,2
Urban_Transit,1,Urban Transit,1,1,,,,1
Used_Vehicles,1,Used Vehicles,1,67,,,,67
Visual_Art,1,Visual Art,1,23,,,,23
World_Music,1,World Music,1,85.3125,,,,85.3125
Yoga,1,Yoga,2,90,TV Drama,1,,3150
Photographic,1,Photographic,1,30,,,,30
Performing_Arts,1,Performing Arts,2,55,TV Drama,14,,137.5
Business_Formation,,Business Formation,,7,Used Vehicles,74,,6.337837838
Computer_Hardware,,Computer Hardware,,32,Used Vehicles,74,,28.97297297
Women's_Clothing,,Women's Clothing,,82,Used Vehicles,35,,156.9714286
TV_Talk_Shows,,TV Talk Shows,,4,Used Vehicles,74,,3.621621622
Windows_OS,,Windows OS,,50,Used Vehicles,74,,45.27027027
TV_Reality_Shows,,TV Reality Shows,,24,Used Vehicles,74,,21.72972973
TV_Gaem_Shows,,TV Game Shows,,16,Used Vehicles,74,,14.48648649
TV_Family-Oriented_Shows,,TV Family-Oriented Shows,,1,Urban Transit,44,,0.022727273
TV_Coemedies,,TV Coemedies,,1,Urban Transit,44,,0.022727273
Romance_Films,,Romance Films,,2,Used Vehicles,74,,1.810810811
Outwear,,Outwear,,6,Used Vehicles,74,,5.432432432
,,Writers Resources,,1,Used Vehicles,74,,0.905405405
,,Web Hosting,,48,Used Vehicles,74,,43.45945946
,,Web Browsers,,10,Used Vehicles,74,,9.054054054
,,Weather,,72,Used Vehicles,1,,4824
,,Video Game Development,,3,Used Vehicles,75,,2.68
,,Video Software,,85,Used Vehicles,60,,94.91666667
,,Vehicle Shopping,,1,Used Vehicles,75,,0.893333333
,,Training & Certification,,1,Used Vehicles,75,,0.893333333
,,Thai Cuisine,,71,Used Vehicles,75,,63.42666667
,,Superhero Films,,1,Used Vehicles,75,,0.893333333
,,Spreadsheet Software,,5,Used Vehicles,75,,4.466666667
,,Smart Phones,,29,Used Vehicles,75,,25.90666667
,,Social Networks,,12,Used Vehicles,75,,10.72
,,Sightseeing Tours,,21,Used Vehicles,75,,18.76
,,Shopping Portals,,4,Urban Transit,44,,0.090909091
,,Outdoors,,87,Used Vehicles,9,,647.6666667
,,Retail Jobs,,81,Used Vehicles,75,,72.36
,,Price Comparisons,,1,Used Vehicles,75,,0.893333333
,,Parenting,,84,Used Vehicles,23,,244.6956522
,,Online Video,,86,Used Vehicles,38,,151.6315789
,,New York City,,78,Used Vehicles,5,,1045.2
,,Apple iOS,,26,Used Vehicles,22,,79.18181818
,,Domain Registration,,10,Used Vehicles,75,,8.933333333
,,Engineering & Technology,,2,Used Vehicles,75,,1.786666667
,,Funds,,74,Used Vehicles,4,,1239.5
,,Android OS,,25,Used Vehicles,75,,22.33333333
,,BMW,,81,Used Vehicles,1,,5427
,,Hair Care,,86,Used Vehicles,32,,180.0625
,,Investing,,73,Used Vehicles,10,,489.1
,,Swimming,,27,Used Vehicles,1,,1809
,,Xbox,,59,Used Vehicles,1,,3953
,,Web Services,,30,Used Vehicles,32,,62.8125
,,Watches,,67,Used Vehicles,3,,1496.333333
,,Toys,,57,Used Vehicles,1,,3819
,,Shooter Games,,40,Used Vehicles,75,,35.73333333
,,Soccer,,48,Used Vehicles,1,,3216
,,Tennis Equipment,,4,Used Vehicles,75,,3.573333333
,,Rock Music,,89,Used Vehicles,45,,132.5111111
,,Metal (Music),,34,Used Vehicles,75,,30.37333333
,,Audio Equipment,,13,Used Vehicles,75,,11.61333333
,,Baseball,,45,Used Vehicles,1,,3015
,,Event Planning,,42,Used Vehicles,75,,37.52
,,Event Ticket Sales,,20,Urban Transit,44,,0.454545455
,,Customer Services,,84,Used Vehicles,66,,85.27272727
,,Chicago,,86,Used Vehicles,1,,5762
,,Health Insurance,,73,Used Vehicles,4,,1222.75
,,Headphones,,64,Used Vehicles,3,,1429.333333
,,Insurance,,90,Used Vehicles,1,,6030
,,Pizzerias,,13,Used Vehicles,75,,11.61333333
,,Mutual Funds,,76,Used Vehicles,30,,169.7333333
,,Mexican Cuisine,,19,Used Vehicles,75,,16.97333333
,,Multimedia Software,,1,Used Vehicles,75,,0.893333333